,scpdsi,pdsi,phdi,pmdi,zindex
2010-11-30,4.6758598928659065,3.633429594522495,4.6758598928659065,4.26505615745166,1.5203913725279892
2010-12-31,5.23237084376728,4.091013452897488,5.23237084376728,5.23237084376728,3.1143735595996835
2011-01-31,5.022268804895908,3.933125284312276,5.022268804895908,5.022268804895908,0.9864964741099732
2011-02-28,4.133163995928049,-0.35760303513963154,4.133163995928049,3.658691982143985,-1.11543336619074
2011-03-31,3.23327405217496,-0.7768242742573341,3.23327405217496,2.1799762447613125,-1.4225221565175001
2011-04-30,2.9364911207319064,-0.6677695902551056,2.9364911207319064,1.8968696793497422,0.10873288779290115
2011-05-31,2.12771472844131,-1.0859591136575537,2.12771472844131,0.5344159048982561,-1.5189534205656299
2011-06-30,1.522014518913021,-1.3458797794917334,1.522014518913021,-0.4251701357066968,-1.1596367774965024
2011-07-31,3.452322027809842,1.6723288284984188,3.452322027809842,3.452322027809842,6.261225013034586
2011-08-31,-0.13443688918729957,-0.12929962756705207,2.962295969758129,2.7423458223332835,-0.4033106675618987
2011-09-30,-0.3644868862687539,-0.3505586817169271,2.4132824882052955,1.8458534107440048,-0.7316909900032387
2011-10-31,-0.7595520224477039,-0.7305271210453397,1.7321071064555185,0.6148491021965988,-1.2978218563938952
2011-11-30,-1.6651769730769435,-1.601545258549617,0.569841265549247,-1.6431653169211817,-2.951576426824059
2011-12-31,0.3208188471534957,0.2570653214204115,0.8319664623511702,-0.8910381505243364,0.962456541460487
2012-01-31,1.400721125263706,1.1223680574913244,1.8592205360960201,1.235438887564487,3.338839858101061
2012-02-29,1.7747636126931607,1.4220803502979202,2.1860375842097466,1.9556687439591414,1.5549502899948495
2012-03-31,-0.6927895127742825,-0.6663158194569165,1.2680862002618603,0.15873646449122242,-2.0783685383228474
2012-04-30,-0.8849285050696357,-0.8511125690327381,0.8739770095237843,-0.5226576962924396,-0.7904889363333131
2012-05-31,-1.6673598077426437,-1.603644680151989,-1.6673598077426437,-1.6673598077426437,-2.6207368160855413
2012-06-30,0.6431758201606056,0.5153631103858336,-0.8524459273845458,0.1888419252169593,1.929527460481817
2012-07-31,1.42680962287153,1.143272215967158,1.42680962287153,1.42680962287153,2.5496427365624004
2012-08-31,2.1156345500316265,1.695212985263923,2.1156345500316265,2.1156345500316265,2.5073589549475925
2012-09-30,1.6257310075592464,1.2590065896182001,1.6257310075592464,1.1885530162490308,-0.8159795514573673
2012-10-31,0.9408677072666264,0.6316879029391549,0.9408677072666264,-0.24169122713759233,-1.5522390195420526
2012-11-30,1.467688637690914,1.0664058808648038,1.467688637690914,1.0768765968703042,1.8711909128182505
2012-12-31,1.6067177097162453,1.1890979679542641,1.6067177097162453,1.4996097547942442,0.870603005122486
2013-01-31,2.4315326400603743,1.8601327051960401,2.4315326400603743,2.4315326400603743,2.9709205633347073
2013-02-28,2.398461360838817,1.842718270723823,2.398461360838817,2.398461360838817,0.6521297481139833
